id,title,desc,loc,date,tags
16,Careers & Internships in U.S. Government Foreign Affairs,"Interested in a career formulating, representing, or implementing US foreign policy? This panel featuring UM's Diplomat-in-Residence, student interns and returned Peace Corps volunteers will talk about the foreign and civil service opportunities within the State Department and other federal agencies. Please note that US government agencies require U.S. citizenship. The deadline for summer internships is November 1.",Map Weill Hall - Room 1120,['2009-10-15 18:00']
17,Health in Africa: Working in Critical Conditions with Dr. Rick Hodes,"Dr. Rick Hodes, the legendary physician who has treated children in Ethiopia for almost 30 years, will speak Wednesday, February 10, 2010 from 5:00pm - 6:00pm at the University of Michigan School of Public Health. Dr. Hodes, known by some as ""Father Theresa,"" has been highlighted by CNN's ""Heroes"" program and will be featured in an HBO documentary to be released in April. The trailer for the film, ""Making the Crooked Straight,"" can be viewed on YouTube. Dr. Hodes, an active board member of ""Will Work for Food,"" will speak about his experiences ranging from the 1984 Ethiopian Famine to his current work at Mother Teresa's mission in Addis Ababa treating cancer, heart diseases and spinal conditions. Sponsored by: Will Work For Food, U-M Hillel, University of Michigan School of Public Health, the Center for Global Health, Global REACH, Ginsberg Center. Location: School of Public Health, 1415 Washington Heights, SPH I Crossroads 1690",Map Henry F. Vaughan School of Public Health Bldg I and Crossroads and Tower - SPH I Crossroads 1690,['2010-02-10 17:00']
18,Alternative Weekends Info Table,"Alternative Weekends will be giving out FREE t-shirts (Go Blue or Go Home) while sharing information about the organization in the Chemistry Atrium on Monday, 9/14, and in the Angell Hall Posting Wall on Tuesday, 9/15 from 10am-4pm. Make sure to stop by and check it out. Join Alternative Weekends! Alternative Weekends is a SERVE run program that provides opportunities for those who are interested and dedicated to community service and social action Volunteer one weekend a month. Work on a specific social issue! Make a difference in your world! LGBTQ Environment Homelessness Urban Poverty Urban Renewal Children with Disabilities EMAIL awsome@umich.edu WITH YOUR QUESTIONS SERVE is part of the Ginsberg Center in the Division of Student Affairs",Map Chemistry & Willard H Dow Laboratory,"['2009-09-14 10:00', '2009-09-15 10:00']"
21,"MYSTIC's Bronze Elegance ""L""The Show Fashion Charity Show","Bronze Elegance Multicultural Charity Fashion Show is an annual event hosted by Alice Lloyd Hall's multicultural council: MYSTIC. MYSTIC was established on campus to celebrate the beauty of minorities. As awareness has grown through the years, our goals have expanded to break stereotypes through creating a show in which both models and the students participating behind the scenes display the true diversity of the University of Michigan by representing different shapes, sizes, ethnicities, religions,and backgrounds. Our motto is: ""Charity: That's why we walk!""",Map Michigan Union - Rogel Ballroom,['2010-03-14 19:00']
22,"Guest Recital/ Masterclass:  Michele Stebelton, horn and Lisa Bontrager, horn","MirrorImage, horn duo featuring Michelle Stebleton and Lisa Bontrager with Tomoko Kamanaru, piano, will present works from their upcoming compact disc project, ""Safari."" The concert will include commissions for the ensemble by Paul Basler, Ray Chase, and Larry Lowe, in addition to opera arrangements by Ray Chase, which have been recorded for the ensemble's recent MSR Classics compact disc release, ""MirrorImage at the Opera.""",Map Earl V. Moore Building - Britton Recital Hall,['2009-11-09 16:30']
23,The People of the Books: Attitudes toward Writing among the Greeks and Romans,"While not the first people to have a written language, the Greeks developed a special attitude toward literature in general and then toward its physical manifestation in the form of books. Whether feared, revered, or ridiculed, soon after writing was developed, books were seen as objects to illustrate on vases and were even the topic of other books. This lecture will examine this complex attitude first among the Greeks and then its later development among the Romans.",Map Michigan League - Vandenberg Room,['2009-10-05 16:00']
24,John Freeman Reading,"John Freeman is the author of The Tyranny of E-Mail, and is an award-winning writer and book critic who has written for numerous publications, including The New York Times Book Review, the Los Angeles Times, The Guardian, and The Wall Street Journal. Freeman won the 2007 James Patterson PageTurner Award. He was recently named editor of Granta. He lives in New York City.",Map Angell Hall - 3222 Angell Hall,['2010-03-09 17:00']
25,"Masters Recital: Joon-ho Kim, violin","PROGRAM: Mozart - Violin Sonata in E Minor, K. 304; Bach - Sonata No. 3 in C Major, BWV 1005; Tchaikovsky - Melody Op. 42, No. 3; Rochberg - Caprice Variations; Wieniawski - Polonaise brillante in A Major, Op. 21",Map Walgreen Drama Center - Stamps Auditorium,['2010-03-18 17:00']
26,Opera Workshop,"Opera Workshop I presents an evening of arias and Shakespeare monologues. Joshua Major, director; Timothy Cheek, music director.",Map Earl V. Moore Building - McIntosh Theatre,['2009-12-03 19:30']
28,Amazin' Blue Winter Concert 2010,A Cappella Concert,Map Rackham Graduate School (Horace H.) - Auditorium,['2010-03-27 20:00']
