id,title,desc,loc,date,tags
5745,Trotter Community Festival ,"Join us for FREE FOOD, music, games, and entertainment. We will have fun activities for kids & college students! We will be honor student organizations through our 2nd Annual Trotter Community Fest Awards. Additionally, graduating students will receive honor cords for their commitment to community service!",Map William Monroe Trotter Multicultural Center,['2011-04-16 14:00'],"['Food', 'Free', 'Multicultural']"
6196,Family Night,"for men, for women for queer, for straight for hot, for cold for dance, for talk for you, for me - for all of us! FAMILY NIGHT AT SAVA'S - A GAY OL' TIME! Come hang out with your super-queer-friendly family here at Ann Arbor's hottest spot! FIRST TUESDAY OF EVERY MONTH!! NO COVER! DRINK SPECIALS! 21 AND UP",Off Campus Location - Sava's- 216 S. State Street,['2011-07-05 22:00'],"['Food', 'Lgbt']"
6207,Pre-Class Bash 2011,"Head to Palmer Field the night before classes begin (and your LAST night of summer!) to kick off the year with free food, free T-Shirts, music, games, prizes, mingling and an all-around great time!",Map Palmer Field,['2011-09-05 18:00'],"['Food', 'Games', 'Inflatables', 'K-grams', 'Michigan student assembly', 'Music', 'Prizes', 'Residence halls association', 'Social event', 'Student org', 'T-shirts', 'Welcome week']"
6340,MLibrary Open House,"MLibrary Open House: A Party For Your Mind! The Shapiro Library will take a break from studying and stress on Sunday, September 4th from 4-6pm. Here are some of the highlights: *Free Pizza! *Video Games! *Photo Booth! *The Amazing Library Race! *Palm Reader! *Arts@Michigan Craft Tables! Our open house is a big Welcome to Michigan from the library staff to the students. Hope to see you there!",Map Shapiro Harold & Vivian Library,['2011-09-04 16:00'],"['Food', 'Free', 'Library', 'Open house']"
6576,North Campus Tailgate,"Watch the Wolverines take on the Northwestern Wildcats in this Big Ten battle. Burgers, snacks, and giveaways will be provided. Kickoff is at 7:00pm. Don’t be late, and Go Blue!",Map Lurie Ann & Robert H. Tower - North Campus Diag,['2011-10-08 19:00'],"['Alcohol-free', 'Food', 'Football', 'Free food', 'Late night', 'North campus', 'Sport', 'Sports event', 'Tailgate']"
6788,Welcome Back Barbecue hosted by the Native American Student Association,"Mark your calendars! The Native American Student Association (NASA) cordially invites you to join us for our annual Welcome Back Barbecue. Here you will have an opportunity to meet NASA members, elders, members of the local Native community, and faculty members in Native American studies. Enjoy a free dinner and learn more about our annual powwow, the Native heritage month series, the Ojibwe program, and other events and resources on campus. Anyone and everyone is welcome! Who: Native American Student Association When: Friday, September 30, 2011 5-7 PM Where: U-M's Trotter Multicultural Center 1443 Washtenaw Avenue Ann Arbor, MI 48109 Contact #: 734-408-1581 Trotter Multicultural Center is located on Washtenaw Avenue and South University, walking distance from campus, but free parking is also available behind the building. For event and group updates, please visit nasaumich.blogspot.com. Wisinidaa. Let's eat. Izhaadaa Giizhigowaande! Go Blue!",Map William Monroe Trotter Multicultural Center - Outside or Basement in case of inclement weather,['2011-09-30 17:00'],"['American indian', 'Barbecue', 'Bbq', 'Central campus', 'Cultural', 'Dinner', 'Food', 'Free', 'Free food', 'Fun', 'Indian', 'Indigenous', 'Native american', 'Ojibwe', 'Social']"
6805,SHPE Academic Retreat,"Feel like there aren’t enough hours in the day? Not sure what to do in school to help you land an internship or job? Thinking about Graduate school and want to learn more? Or do you want to network with first year students in order to form peer study groups? If you answered yes, to any of these questions come to the SHPE academic retreat. Food will be provided (Panera) and there is a registration limit, so hurry up and sign up: https://www.engin.umich.edu/form/shpeacademicretreat Worried that you will miss the tailgating and kick-off? the university realizes how important your academic success is that they have decided to start the game 8:00PM so there will be plenty of time afterward for the festivities. Woke up late!!! Ideally everyone would make it on time to the retreat, but presumably some people are attending because they don't know time management. Don’t worry there are many different workshops each starting through the day whether you need to arrive late or leave early you can benefit from this event so just show up. Don't miss this great opportunity to meet fellow students interested in academic excellence, learn from professionals and get good old free food. Schedule: 12:00pm - 1:00pm Welcome Students Brunch 1:00pm - 1:40pm Susan Montgomery - Time Management Workshop 1:40pm - 1:50pm Break 1:50pm - 2:30pm Carlos Pons Siepermann and Paul Arias - Student Role-Model Workshop 2:30pm - 2:40pm Break 2:40pm - 3:20pm Orlando Alvarez - Alumnus Workshop (Importance of Academic Excellence in the Workforce) 3:20pm - 3:30pm Adjournment If you have questions please feel free to post them on the event wall! Hope to see you all there!",Map Chrysler Center - Chesebrough Auditorium,['2011-09-10 12:00'],"['Academic', 'Academic excellence', 'Academic retreat', 'Academics', 'Auditorium', 'Chesebrough', 'Chrysler', 'Chrysler center', 'Coe', 'College of engineering', 'Elc', 'Engineering', 'Engineers', 'Event', 'Excel', 'Excel academically', 'Excellence', 'Food', 'Free', 'Free food', 'Hispanic', 'Latino', 'Professional', 'Retreat', 'Saturday', 'Shpe', 'Society', 'Society of hispanic professional engineers', 'Study']"
7082,Business Etiquette Dinner,"Date: Thursday, October 27, 2011 Time: 5:00-7:00 pm Place: Commons Cafe at Pierpont Commons Cost: $15 Registration opens on October 3 at http://tiny.cc/0ld37. Pay and pick up your ticket at SORC (4015 Michigan Union). Come learn the dos and don'ts of formal dining with the University's own, Keith Soster, Food Services Director. Enjoy a four-course meal!",Map Pierpont Commons - Commons Cafe,['2011-10-27 17:00'],"['Career', 'Etiquette', 'Food', 'North campus', 'Professional development']"
7481,Family Night at Pierpont,"Once upon a time... at Family Night When: Wednesday, November 16, 2011 from 5:30-7:30 p.m. Where: Pierpont Commons, Commons Café, U-M North Campus What: FREE fun for all ages including snacks, crafts, story time, dress up, photos, games, and more! For more information, contact the Center for Campus Involvement at uminvolvement@umich.edu or 734-763-3202",Map Pierpont Commons - Commons Cafe,['2011-11-16 17:30'],"['Children', 'Crafts', 'Family event', 'Food', 'Games', 'North campus']"
7663,Stress Relief Week,"Join the Center for Campus Involvement for a week of events to help you de-stress before the final week of classes! Monday, December 5th: Massages and Manicures Michigan Union, Pond Room Tuesday, December 6th: Relaxing Foods: discussion and tasting Michigan Union, Pendleton Room Wednesday, December 7th: Yoga and Pilates classes Michigan Union, Pond Room Thursday, December 8th: Crafts and a Movie Michigan League, Kalamazoo Room Friday, December 9th: UMix (10:00 pm - 2:00 am) Michigan Union Each event will be from 5:00-7:00 pm (except UMix). Give-aways and raffle prizes each night!",Map Michigan Union - Pond Room,"['2011-12-05 17:00', '2011-12-06 17:00', '2011-12-07 17:00', '2011-12-08 17:00', '2011-12-09 22:00']","['Crafts', 'Film', 'Food', 'Health and wellness', 'Lecture', 'Massage', 'Pilates', 'Prizes', 'Yoga']"
