id,title,desc,loc,date,tags
877,College Kick-off BBQ,"Looking to meet more people and get plugged into a community? Don't miss out on this opportunity to connect with other students – there will be plenty of FREE FOOD, various sports, and good times to go around. Rides will be provided at the roundabout in front of Stockwell, the front of Bursley, and behind South Quad on Monroe Street at 5:45 PM. This event is hosted by Access, a student organization from Harvest Mission Community Church (www.hmcc.net) and is open to all students.",Off Campus Location,"['2010-09-05 18:00', '2011-09-04 18:00', '2012-09-02 18:00', '2013-09-01 18:00', '2014-08-31 18:00']","['Bbq', 'Free food', 'Frisbee', 'Picnic', 'Sports', 'Welcome to michigan', 'Welcome week', 'Welcometomichigan']"
1088,Sunday Celebration,"The school year is about to begin! No matter your background, come kick off this season with new expectations and hope. Join us at 9:00 or 11:15am to experience church in a fresh way as we worship and seek God together. We meet at the Transformation Center, across the street from the Rackham Auditorium and the Power Center. Curious? Check out our website at www.hmcc.net to learn more about who we are and what we value.",Off Campus Location,"['2010-09-05 9:30', '2011-09-04 9:30', '2011-09-04 11:45', '2014-08-31 9:00', '2014-08-31 11:15']","['Free food', 'Religious', 'Spiritual', 'Welcome to michigan', 'Welcome week']"
4841,Midwest Hip Hop Summit,"7th Annual Midwest Hip Hop Summit featuring Freeway, OneBelo, Invincible, Buff 1, Majestik Legend, Binary Star, and The ReMINDers.",Map Michigan League - Ballroom,['2011-02-04 19:00'],"['Binary star', 'Buff 1', 'Freeway', 'Hip hop', 'Hip hop congress', 'Hip hop summit', 'Invincible', 'Majestik legend', 'Mesa', 'Onebelo', 'The reminders']"
4952,Lord of the Rings: The Fellowship of the Ring,Come experience a 35mm film print of the first part of the epic fantasy for free! Check out the facebook event (posted under website) or the FVSA blog for other film and video student association sponsored events. http://fvsa.wordpress.com/,Map Lorch Hall - Askwith Auditorium,['2011-01-28 19:00'],"['Film', 'Film screenings', 'Free', 'Fvsa', 'Lord of the rings', 'Movie', 'Projectorhead', 'Screen arts and cultures', 'Visual arts']"
5600,Mooz-lum Screening,"The U-M-Ann Arbor Muslim Students' Association, MESA/Trotter Black History Month Committee, and the Global Scholars Program invite you to a FREE Screening of the film, ""Mooz-lum"" A coming-of-age story dubbed by reviewers as a ""cinematic call for tolerance and understanding."" Featuring a Q & A Panel Session with the Director, Qasim Basir Producer, Dana Offenbach",Map East Hall - 1324,['2011-03-11 19:00'],"['Film', 'Free', 'Islam', 'Muslim', 'Tolerance']"
5733,Fat Men in Skirts by Nicky Silver,"One island. 171 high-heeled shoes. Four actors. One twisted psychological experience. Thursday, March 24th: 7:00PM Friday, March 25th: 7:00, 11:00 PM Saturday March 26th: 7:00 PM Studio 1: Walgreen Drama Center (North Campus) With: Matt Socha Jane Bruce Neal Kelley Madi Micucci Featuring Designs and Organization by: Stephanie Hawkins, Katie Lantz, Colin Fulton, Gordon Granger, Chazz Malott, Ellie Sachs, Brita Thorne, Chris Thelen, Jonah Thompson, and Alexandra Eden WARNING: Adult Content, Adult Language, Sexual Violence, and an Abundance of Freud... watch at your own risk. After their plane crashes, Phyllis, and her son, Bishop, are stranded on a desert island for five years. During their stay, Bishop is transformed from a stuttering, Katherine Hepburn-obsessed little boy, in to a feral savage. Phyllis devolves from a glib, callused sophisticate to a helpless, addled shell. Left to fend for themselves, they dine on the bodies of the dead passengers and eventually become lovers. At home, we see Howard, Phyllis' husband and famous movie director, continuing life with his somewhat loopy, ex-porn-star mistress, Pam. Pam moves in with Howard and becomes pregnant. Bishop remembers his mother's recurring dream about a three-hundred-pound transvestite. This monstrosity multiplied in her dreams and became several fat men in skirts, in cages. It is the acceptance of this memory that may allow Bishop to heal, moving forward and understanding the relationship between love and harm.",Map Walgreen Drama Center - Studio 1,"['2011-03-24 19:00', '2011-03-25 19:00', '2011-03-25 23:00', '2011-03-26 19:00']","['Basement arts', 'Fat men', 'Fat men in skirts', 'Free theater', 'Literary', 'Lou', 'Lou king', 'Michigan theater', 'Musical theater', 'Musket', 'Nicky silver', 'Psychology', 'Rude mechanicals', 'Student org', 'Studio 1', 'Theater', 'Visual arts', 'Walgreen drama center']"
5738,'Talk with Mott' free web chat series ,"Join the University of Michigan C.S. Mott Children's Hospital and Metro Parent Magazine for the next installment in a series of free lunchtime web chats. Get the latest medical information and insights from Mott doctors - from the comfort of your home or office computer - to help you give your child every medical advantage. Each chat lasts about one hour. Participation is free, but registration is required. No software installation is required. Registration for each event begins one month prior to the event at www.metroparent.com/mottwebchats. In April, developmental and behavioral experts from Mott will discuss how to help your child with behavioral challenges at school, such as paying attention and getting along with other children. Experts will answer questions on talking to your child's teachers to best understand the problem, and making school a place where your child can thrive and learn.",Off Campus Location - Online event,['2011-04-20 12:00'],"['Behavior', 'Children', 'Discussion', 'Free']"
5745,Trotter Community Festival ,"Join us for FREE FOOD, music, games, and entertainment. We will have fun activities for kids & college students! We will be honor student organizations through our 2nd Annual Trotter Community Fest Awards. Additionally, graduating students will receive honor cords for their commitment to community service!",Map William Monroe Trotter Multicultural Center,['2011-04-16 14:00'],"['Food', 'Free', 'Multicultural']"
5896,Lightworks Winter 2011,"Presented by the U of M Film and Video Student Association and the Department of Screen Arts & Cultures, the semesterly Lightworks Festival showcases the films, videos, and animations made by SAC students in production courses this semester and year. @ the Natural Science Auditorium -April 22nd, 6:00pm - 12am -April 23rd, 6:00pm - 12am* -FREE ADMISSION -FREE POPCORN *An awards ceremony will follow the scheduled screenings where the judges will announce their choices for projects in competition (best director, best cinematography, best of fest, etc.)",Map Edward Henry Kraus Building (Natural Science) - Natural Science Auditorium,['2011-04-22 18:00'],"['Film festival', 'Film screenings', 'Free', 'Fvsa', 'Student org', 'Students']"
5898,Lightworks Winter 2011,"Presented by the U of M Film and Video Student Association and the Department of Screen Arts & Cultures, the semesterly Lightworks Festival showcases the films, videos, and animations made by SAC students in production courses this semester and year. @ the Natural Science Auditorium -April 22nd, 6:00pm - 12am -April 23rd, 6:00pm - 12am* -FREE ADMISSION -FREE POPCORN *An awards ceremony will follow the scheduled screenings where the judges will announce their choices for projects in competition (best director, best cinematography, best of fest, etc.)",Map Edward Henry Kraus Building (Natural Science) - Natural Science Auditorium,['2011-04-23 18:00'],"['Film', 'Film festival', 'Film screenings', 'Free', 'Student org', 'Students']"
