id,title,desc,loc,date,tags,label
22545,Stress Relief Week April 15th-22nd,"Join us starting April 15th-22nd for Stress Relief events and keep your calm during finals! We will be featuing the following events: Pop-Up Snacks: 4/15-16, All Around Campus Mochas and Masterpieces: 4/16, Wolverine Room, Michigan Union Wheel OŠ—ÈFun: 4/20, Union front lawn Finals Survival Breakfast To-Go: 4/22, Pierpont Finals Survival Breakfast: 4/22, Michigan Union Ballroom",See flyer for exact locations,"['2015-04-15 0:00', '2015-04-16 0:00', '2015-04-17 0:00', '2015-04-18 0:00', '2015-04-19 0:00', '2015-04-20 0:00', '2015-04-21 0:00', '2015-04-22 0:00', '2015-04-23 0:00']","['Food', 'Free', 'Games', 'Reception']",T
30458,Finals Survival Breakfast - Late Night!,"Finals Survival Breakfast Late Night Join us on Wednesday, April 20th anytime between 10pm and 1am in the Rogel Ballroom of the Michigan Union for FREE pancakes, eggs, fruit, oatmeal, and bacon!! Remember to bring your Mcard and good luck with finals!",Map Michigan Union - Rogel Ballroom,['2016-04-20 22:00'],"['Food', 'Free', 'Social']",T
27337,Amazingly Easy Chocolate Goodies,"This study group for those over 50 demonstrates and teaches three basic techniques for making simple, but attractive chocolate confections in your own kitchen. So that everyone will have an opportunity to work with these techniques, class size will be limited to the first six registering. Instructor Sydney Kaufman has conducted numerous chocolate tastings, as well as a study group on making great chocolate bars. This study group meets Mondays, April 4 through April 18.","Turner Senior Resource Center, 2401 Plymouth Rd",['2016-04-04 15:00'],"['Food', 'Lifelong learning', 'Retirement', 'Workshop']",T
29563,Iron Chef Competition,"Do you have what it takes to be U-MŠ—Ès next Iron Chef? Sign up with your best foodie friend to participate in this Iron Chef-style competition sponsored by your Residence Hall Association. Teams of two will have one hour to create a dish using ingredients supplied by MDining and prizes will be award to the top teams each day. To register, go to goo.gl/FYv2ma",Map South Quadrangle,"['2016-03-19 11:00', '2016-03-20 11:00']",['Food'],T
17887,M Farmers' Market,"Enjoy a day of farm fresh fun! Join Central Student Government (CSG) in partnership with University Unions and Michigan Dining for the last FarmersŠ—È Market event of the season. Come to the Union Courtyard to learn about healthy eating, nutrition and sustainability where fresh fruits, vegetables and other locally sourced items will be available for purchase. The event will feature chef demonstrations with easy recipes, free samples, healthy and sustainable eating tips, interactive displays, giveaways and much more! This yearŠ—Ès theme will be Š—“Buy it Local, Cook it GlobalŠ— where recipes offer an international spin. The market emphasizes and encourages healthy eating and a campus committed to sustainable efforts and local source benefits. Blue Bucks, Dining Dollars, credit cards, and cash will be accepted. Thanks to our sponsors: Central Student Government (CSG) Health Issues Commission, University Unions, Michigan Dining, MHealthy, University Health Services, Office of Campus Sustainability and many other sponsors. For more information, go to http://uunions.umich.edu/about/sustainability",Map Michigan Union - Courtyard next to Starbucks,['2014-10-16 10:00'],"['Environment', 'Food', 'Health & wellness', 'International', 'Nutrition', 'Sustainability']",T
26400,Rufus' Birthday Party,"Please stop by Rufus' Birthday Party next Monday, November 16 at the Hatcher Library between 11am and 1pm to check out some great ideas on how to have a sustainable celebration before the upcoming holiday season! Bring a reusable mug, plate, spork, etc to be entered in a chance to win a membership to the Matthaei Botanical Gardens! Bring a toy, decoration, or other household item to be tested by the Ecology Center for the presence of heavy metals or other toxins such as lead. Enjoy food, a photo booth, activities and great, useful information for your next celebration. This event is co-sponsored by the Planet Blue Ambassador Program and the U-M Waste Reduction & Recycling Office.",Map Harlan Hatcher Graduate Library - Gallery,['2015-11-16 11:00'],"['Environment', 'Food', 'Free', 'Holiday', 'Sustainability']",T
29951,SFSI Film Series Presents... A Table for Sixty-Thousand,"Each day, about 60,000 vegetarian meals are prepared and shared by visitors to The Golden Temple. Anyone can participate in the preparation, cooking, serving and sharing of the free meal. In 2014 and 2015, students from the University of Michigan spent one month with SFSI affiliated faculty Jasprit Singh to study how the concept of langar (free community kitchen) works. The film is based on over five years of study of the langar and also incorporates experiences of UM students. Discussion panelists will include filmmaker Teresa Singh and UM students that participated in a trip to The Golden Temple. A light reception of Indian food will follow the event. Sponsored by: The UM Sustainable Food Systems Initiative (SFSI), Michigan Community Scholars Program, University of Michigan Sustainable Food Program & the Indian American Student Association",Map Dana Natural Resources Building - Room 1040,['2016-03-31 17:00'],"['Environment', 'Food', 'India']",T
32023,OAMI Open House!,"Come visit the Office of Academic Multicultural Initiatives on the 3rd floor of the SAB as we kickoff the school year with food, prizes, and fun! Learn about all the ways to get involved including leadership connections, our graduation celebrations, MLK Symposium, and employment opportunities. See you on September 13th at 12pm! Questions: oami-uofm@umich.edu",Map Student Activities Building - 3009 Office of Academic Multicultural Initiatives,['2016-09-13 12:00'],"['Culture', 'Diversity', 'Food', 'Free', 'Health & wellness', 'Inclusion', 'Multicultural', 'Networking', 'Social justice', 'Transfer students', 'Undergraduate', 'Welcome to michigan']",T
25385,Detroiters Speak: Reflections on the State of Education in Southwest Detroit,Join us this Fall for a special Southwest Detroit speaker series featuring community voices from all over this vast + important neighborhood. Open to the public! Free Food + great conversation. Free transportation from Ann Arbor (email semesterindetroit.umich.edu) Don't miss it! Relevant readings are posted at http://detroitcenter.umich.edu/news/2015/9/detroiters-speak-series-returns-fall-2015,Map Detroit Center - Ann Arbor Room,['2015-11-05 19:00'],"['Activism', 'Culture', 'Detroit', 'Food', 'Free', 'Lifelong learning', 'Multicultural', 'Networking', 'Social impact', 'Social justice']",T
14335,"American Foodways: The Jewish Contribution, 1660-2013","Join us for the exhibit opening of ""American Foodways: The Jewish Contribution."" Jan Longone, Adjunct Curator in the U-M Special Collections Library, will explore the multifaceted contributions of Jewish Americans, beginning with the first kosher butcher in America (1660) and the earliest Jewish cookbook published here in 1871. Among the topics discussed will be Butchers, Bakers and Market Men; Charitable Cooks and their Cookbooks (1888-2013); the Role of the Media; Restaurants, Delicatessens and Menus; Commercial Advertising Ephemera; A Chronology of Jewish-American Cookbook Publishing; Jewish-American Food Festivals; and more. Please arrive early to allow time to view the exhibit; culinary volunteers will be available at 3 p.m. The lecture will be followed by a reception, with refreshments provided by Zingerman's.",Map Harlan Hatcher Graduate Library - Gallery (enter from DIag),['2013-09-24 16:00'],"['Cooking', 'Food', 'Jewish community', 'Jewish studies']",T
29761,Martha Cook Building International Tea,"Do you enjoy free food? Want to learn more about different cultures? Have you ever wanted to see the inside of Martha Cook? Experience all this and more when you come to Martha Cook's Annual International Tea! Residents from the building will be hosting tables and providing guests with food from countries around the world! This event is FREE and open to the public. Join us Friday, March 18th from 3-5 PM for great food and fun! Martha Cook is located on South U. next to the Law Quad and across the street from the UGLI. No backpacks or public restrooms!",Map Martha Cook Residence,['2016-03-18 15:00'],"['Alumni', 'Food', 'Free', 'International']",T
37951,Qualtrics Information Session,"January 18: 5:00-6:30 - LSA Building, Rm. 2001 - Food will be served! RSVP - https://umichlsa-csm.symplicity.com/students/index.php?mode=form&id=61bad091b0d13ac8d73b404fb6ddb1f9&s=event&ss=is We believe in making it simple for our customers to capture the data they need to do their job betterŠ—”whether theyŠ—Ère focused on customer, market, employee, or academic insights. WeŠ—Ère always on the lookout for top-notch innovators to help us create stronger products and better solutions for our customers.",Map Literature Science and the Arts - 2001,['2017-01-18 17:00'],"['Career', 'Food', 'Information and technology']",T
36214,New Orleans Theme Dinner,Come to East Quad Dining Hall on November 30th to experience a New Orleans Themed Dinner featuring the Princess and the Frog. This will be an extravagant dinner you do not want to miss!,Map East Quadrangle,['2016-11-30 17:00'],['Food'],T
36725,Fall 2016 Student Showcase,"Join Semester in Detroit to celebrate all the work our wonderful cohort has done with/in Detroit this Fall! This event is free and open to the public. Light refreshments will be served. For carpooling information from Ann Arbor, please see the attached Google Spreadsheet.","Cass Corridor Commons (4605 Cass Ave., Detroit, MI)",['2016-12-14 15:00'],"['Activism', 'Books', 'Community service', 'Detroit', 'Food', 'Free', 'Social justice', 'Study abroad']",T
30180,"Intercultural Communication Program Suite Workshop: ""Be the Change""","This workshop will help you learn how to communicate your cross-cultural experiences and skills to employers, on your resume, in cover letters, etc., as well help you to determine your action plan to building and enhancing your intercultural skill set, all while meeting and engaging with peers on campus! Dinner provided! >>RSVP: tinyurl.com/ICPSApril7<< The Intercultural Communication Program Suite (ICPS) is a leadership development, cultural awareness and academic enrichment series in the Office of Academic Multicultural Initiatives (OAMI).",Map Student Activities Building - 3009 Office of Academic Multicultural Initiatives,['2016-04-07 18:00'],"['Discussion', 'Diversity', 'Education', 'Food', 'Free', 'Graduate', 'Graduate school', 'Inclusion', 'Multicultural', 'Networking', 'Undergraduate']",T
35314,"""Pick the Score"" of the Michigan - MSU Game","Come to U-go's in Pierpont Commons between Monday, October 24th and Friday October 28th and guess the score of the Michigan vs. MSU game on Saturday, October 29th. All correct guesses will be put in a raffle for the chance to win a free purchase (up to $15) on Monday October 31st!",Map Pierpont Commons - U-go's,"['2016-10-24 8:00', '2016-10-25 8:00', '2016-10-26 8:00', '2016-10-27 8:00', '2016-10-28 8:00']",['Food'],T
30179,RC Seniors Invitational Art Show OPENING RECEPTION,"RC Seniors show of visual art work exhibit, jury: RC Art Faculty Show comes down on Sunday, May 1.","Map East Quadrangle - Art Gallery, 701 E. University",['2016-04-15 17:00'],"['Art', 'Exhibition', 'Food', 'Free', 'Visual arts']",T
19188,American Football 101,"During the program, you will learn some basic rules about American football game, enjoy food, and watch a game (starts at 7pm) on the screen with other international students.",Map Rackham Graduate School (Horace H.) - Assembly Hall (4th floor),['2014-10-04 18:00'],"['Food', 'Free', 'Social']",T
29210,Fields Caf’© Open House,Sample our new menu. Enter to win a $25 Fields gift certicate. Talk to us about Caf’© to Go catering with quick and easy shortcode billing!,Map Palmer Commons - Third Floor,['2016-03-09 15:00'],['Food'],T
