11351,A Night in the Spotlight,"Come join Circle K at our annual formal dance, this year's theme being a night in the spotlight. Prepare for a night of glitz and glamour as you spend the night dancing with all of your favorite Circle K members, and remember that there will be an appearance by the ballroom dance team to show you all how to groove. All proceeds will go toward the Eliminate Project, which is a joint effort by UNICEF and Kiwanis to rid the world of Maternal/Neonatal Tetanus.",Map Michigan League - Vandenburg Room,['2012-12-07 21:00']
2637,Creating Web Pages with Dreamweaver CS 4,"Want a web site for a class or personal use? In this hands-on workshop, well use Dreamweaver to create pages - adding links, tables and graphics. Youll get a very basic introduction to Cascading Style Sheets (CSS), and well talk about the various methods to make your web site live!",Map Harlan Hatcher Graduate Library - 206,['2009-10-05 13:00']
31473,Resume 101,"*RSVP is required for this program. If you are in Handshake, Click ""Join event"" to RSVP* Not in Handshake? Click here: https://umich.joinhandshake.com/events/18326 Will your resume convince an employer or graduate school that YOU are the right candidate? Get that resume in tip-top shape by joining this interactive resume session! During this session we give you a chance to put on the employer hat to understand what makes a resume great. You will leave this session with a “better bullet” using the bullet plus model and a resume reviewed by one of your peers! This session is an interactive workshop, so you are expected to prepare by carefully watching this video: https://www.youtube.com/watch?v=alJVk4Nsok8&feature=youtu.be. These pieces will not be covered in the workshop. You are expected to bring a physical copy of your resume to this workshop. This session will be co-sponsored by the Psychology Department.","Program Room (3003) University Career Center, 3200 Student Activities Building 515 E Jefferson St, Ann Arbor, MI, United States",['2016-09-19 17:00']
10524,Campus Sexual Assault Policy Conference: Problems and Progress,"The University of Michigan Center for the Education of Women and our partners announce Campus Sexual Assault Policy: Problems and Progress, a two-day conference to take place on October 25-26, 2012 at the UM North Campus Research Complex. In the context of the April 2011 “Dear Colleague Letter” issued as guidance by the U.S. Department of Education Office for Civil Rights, this conference aims to bring together institutional policy makers and community-based sexual assault response professionals to discuss and develop policies addressing student sexual misconduct under Title IX. The conference is designed so that research and promising practices presentations on Day One will inform policy design workshops and policy recommendations on Day Two. We are pleased to announce that John DiPaolo, Chief of Staff of the Office for Civil Rights, will participate in the conference. Campus Sexual Assault Policy: Problems and Progress will focus on not only the impact of the Dear Colleague Letter but also the intersection of diversity with campus policy development. We will explore cultural considerations in policy development and the impact of both campus sexual assault and the policies designed to address sexual violence on diverse survivors. Campus Sexual Assault Policy: Problems and Progress is supported by a grant from the University of Michigan National Center for Institutional Diversity. Additional sponsors include, at UM, the Center for the Education of Women, the CEW Frances and Sydney Lewis Visiting Leaders Fund, Abuse Hurts, the Division of Student Affairs, the Office of Student Conflict Resolution, the Sexual Assault Prevention and Awareness Center, the Office of the Vice President and General Counsel, the Office of Institutional Equity, the Women’s Studies Department, the Institute for Research on Women and Gender, the SHARP Center for Women and Girls, the School of Social Work, and the Gerald R. Ford School of Public Policy. The Michigan Coalition Against Domestic and Sexual Violence and the Michigan Domestic Violence and Sexual Assault Prevention and Treatment Board are collaborating partners.","Map North Campus Research Complex - Building 18, Dining Hall","['2012-10-25 8:00', '2012-10-26 8:00']"
28831,Last Meal Potluck,"Come enjoy a social potluck with GradSWE! Bring a dish that begins with the first letter of your last name. For example, Suzy Smith might bring a Spaghetti dish.Leave a comment in your RSVP if you will need a ride to this event and we will coordinate a carpool!",Stacy's Apartment,['2016-02-20 13:00']
11378,Foreclosed: Rehousing the American Dream,"""Foreclosed: Rehousing the American Dream"" is an exploration of new architectural possibilities for cities and suburbs in the aftermath of the recent foreclosure crisis. During summer 2011, five interdisciplinary teams of architects, urban planners, ecologists, engineers, and landscape designers worked in public workshops at MoMA PS1 to envision new housing and transportation infrastructures that could catalyze urban transformation, particularly in the country's suburbs. Responding to ""The Buell Hypothesis,"" a research report prepared by the Buell Center at Columbia University, teams – lead by MOS, Visible Weather, Studio Gang, WORKac, and Zago Architecture – focused on a specific location within one of five ""megaregions"" across the country to come up with inventive solutions for the future of American suburbs. This installation presents the proposals developed during the architects-in-residence program through diagrams and videos. This exhibition is a traveling version of the exhibition of the same name at the Museum of Modern Art, New York (February 15 – August 13, 2012) that was organized by Barry Bergdoll, The Philip Johnson Chief Curator of Architecture and Design with Reinhold Martin, Director, Temple Hoyne Buell Center for the Study of American Architecture Columbia University. The traveling version was organized by Anna Kenoff at the Buell Center and was installed at the Low Library before traveling to Taubman College. The exhibition at Taubman will include posters developed by Robert Fishman's ""Suburbia"" class on view in the East Hall.","Map Art and Architecture Building - Art and Architecture Building, A+A Auditorium (Rm 2104)",['2012-11-13 18:00']
14317,Introduction to Resume Writing,"This workshop is for students who are new to writing a resume. We will touch on resume basics, like formatting, but will mainly focus on how to develop a resume that reflects one’s story. Please bring a hard copy of your resume, no matter how far along you are. Don’t have a resume yet? Check out our Resume Builder, which provides step-by-step help and manages formatting so you can focus on content. Also be sure to check out some resume resources on our website if you need help getting started. To Register: 1. Log in to your Career Center Connector account 2. Click on the ""workshops and employer events"" tab and select ""workshops"" where you will find Hangout or Small Group Discussions. 3. Select the session you'd like to attend. Sign-ups will be available until all spaces are filled, at which time you will be placed on a wait list. Students should choose only one session.",Map Student Activities Building - The Career Center Program Room,"['2013-10-07 12:00', '2013-10-16 19:00', '2013-11-05 18:30']"
25863,"Datamediation: WikiLeaks, Citizenfour, and the Affectivity of Exposure","In 2010, Julian Assange and WikiLeaks made headlines with major internet releases of classified information, mainly from US government sources. Three years later Edward Snowden was declared a traitor when, with the help of three journalists, he exposed thousands of classified NSA documents. These exposures of classified data have been lauded by open-access advocates and excoriated by US government officials. Discussion of these data dumps has largely focused on the question of their content, or on the legitimacy of releasing confidential information to the globally networked public. In this talk I pursue a different tack, taking up the formal and affective qualities of their releases, the way they function as instances of what I call “datamediation.” Their impact, I argue, derives as much from their perpetuation of an affectivity of exposure as from the content of what they reveal. Grusin is a leading figure in new media studies. He has written both theoretically and interpretively about the relations between new media and old, most recently in Critical Inquiry (“Radical Mediation,” Fall, 2015); previous works include Premediation: Affect and Media After 9/11 (2010) and, with co-author Jay David Bolter, Remediation: Understanding New Media (2000).",Map Angell Hall - 3222,['2015-10-29 16:00']
34152,Preprint Algebraic Geometry Seminar,http://arxiv.org/abs/1605.09657 Speaker(s): Takumi Murayama (UM),Map East Hall - 1866,['2016-12-09 16:00']
24448,The 9/11: Never Forget Project,"The 9/11 Never Forget Project is a 2,977 American Flag memorial on the Diag- one flag representing each victim of the attacks. We need your help to set it up starting at 7am on the Diag on FRIDAY 9/11. This project is a great way to commemorate the innocent lives lost on 9/11. PLEASE SIGN UP TO VOLUNTEER HERE: http://goo.gl/forms/JFsggNCBcr.  All help is appreciated, even if it is only for a few minutes.",The Diag,['2015-09-11 7:00']
